round,dyke_length,dam_length,evacuated,casualties,score,lostScoreInj,lostScoreDam,lostScoreDy,lostScoreStArea
x1,1038.450445831244,464.1990615708646,814,186,4.0,930,46,10,10
x2,2492.8267448636448,311.4780174579353,803,196,0.0,980,31,25,13
x3,3689.7366913534993,515.4167581046527,845,155,110.0,775,52,37,26
