round,dyke_length,dam_length,evacuated,casualties,score,lostScoreInj,lostScoreDam,lostScoreDy,lostScoreStArea
x1,5394.370178719057,433.9652381437004,993,6,873.0,30,43,54,0
x2,5285.145568501734,619.9228930202041,999,1,867.0,5,62,53,13
x3,6769.541387790275,1332.677878181026,991,9,745.0,45,133,68,9
