round,dyke_length,dam_length,evacuated,casualties,score,lostScoreInj,lostScoreDam,lostScoreDy,lostScoreStArea
x1,11487.550074794717,2021.2587269716994,936,64,362.0,320,202,115,1
x2,10757.466844159691,93.08882110717973,985,15,797.0,75,9,108,11
x3,12067.375286570903,263.5110069707499,1000,0,853.0,0,26,121,0
